Context_Length,Model,Medicines,Windows,Samples,Total_Actual,Total_Predicted,Total_Absolute_Error,WAPE_Pct,MAE,sMAPE_Pct,MBE,P10_P90_Coverage_Pct
730,chronos-2-P70,76,6,12180,183044.0,162930.0140838623,209307.35294508934,114.3481091677899,17.184802955665024,179.41975369458132,-1.6513054187192118,73.11167487684729
1460,chronos-2-P80,76,6,12180,183044.0,266357.39714663476,267076.33104185015,145.90826852661115,21.927512315270935,175.3693596059113,6.840295566502463,71.27270935960591
1095,chronos-2-P80,76,6,12180,183044.0,267286.54192334414,270171.6388577968,147.59928697897598,22.18172413793103,175.2657389162561,6.916551724137929,71.95379310344828
540,chronos-2-P80,76,6,12180,183044.0,281849.73168584704,275292.54421678185,150.39692326259362,22.6021921182266,175.0687684729064,8.111625615763547,73.70288177339901
730,chronos-2-P80,76,6,12180,183044.0,286773.89722872525,276496.43381301314,151.05462829320444,22.70091133004926,174.9777093596059,8.516182266009851,73.11167487684729
365,chronos-2-P80,76,6,12180,183044.0,285123.2129217088,278050.6002381742,151.90369541649778,22.82832512315271,175.67071428571427,8.38088669950739,76.5352709359606
1460,chronos-2-P90,76,6,12180,183044.0,506033.48286291957,436595.8227570951,238.51960335061247,35.84532019704433,171.95187192118226,26.518054187192117,71.27270935960591
1095,chronos-2-P90,76,6,12180,183044.0,505495.86664408445,439244.4401925802,239.96658737384467,36.06293103448276,172.02967980295568,26.473990147783248,71.95379310344828
730,chronos-2-P90,76,6,12180,183044.0,537398.3412091434,460099.6883520782,251.360158405672,37.77492610837439,172.17320197044333,29.09320197044335,73.11167487684729
540,chronos-2-P90,76,6,12180,183044.0,540651.7211696208,465489.28216180205,254.30458368578158,38.217635467980294,172.16135467980297,29.36046798029557,73.70288177339901
365,chronos-2-P90,76,6,12180,183044.0,563512.5824395716,484366.1924684346,264.61735564587457,39.76729064039409,172.26751231527095,31.2371921182266,76.5352709359606
